Total Items,,,,,,,,,,
Pass Items,,,,,,,,,,
Fail Items,,,,,,,,,,
NY Items,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Section,Main Title,Description,Testname,Priority,Method,Owner,Status,Milestone,Remark
,3.4,16 bits x cpol 0 x cpha 1,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 16, cpol =0, cpha = 1, cdte = 0 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và được nhả đúng thời gian truyền","spi_non_16bit_cpol0_cpha1_slaver0_test
spi_non_16bit_cpol0_cpha1_slaver1_test
spi_non_16bit_cpol0_cpha1_slaver2_test
spi_non_16bit_cpol0_cpha1_slaver3_test",High,Directed,Huy,,,
,3.5,8 bits x cpol 1 x cpha 0,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 8, cpol =1, cpha = 0, cdte = 0 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và được nhả đúng thời gian truyền","spi_non_8bit_cpol1_cpha0_slaver0_test
spi_non_8bit_cpol1_cpha0_slaver1_test
spi_non_8bit_cpol1_cpha0_slaver2_test
spi_non_8bit_cpol1_cpha0_slaver3_test",High,Directed,Huy,,,
,3.6,16 bits x cpol 1 x cpha 0,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 16, cpol =1, cpha = 0, cdte = 0 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và được nhả đúng thời gian truyền","spi_non_16bit_cpol1_cpha0_slaver0_test
spi_non_16bit_cpol1_cpha0_slaver1_test
spi_non_16bit_cpol1_cpha0_slaver2_test
spi_non_16bit_cpol1_cpha0_slaver3_test",High,Directed,Huy,,,
,3.7,8 bits x cpol 1 x cpha 1,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 8, cpol =1, cpha = 1, cdte = 0 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và được nhả đúng thời gian truyền","spi_non_8bit_cpol1_cpha1_slaver0_test
spi_non_8bit_cpol1_cpha1_slaver1_test
spi_non_8bit_cpol1_cpha1_slaver2_test
spi_non_8bit_cpol1_cpha1_slaver3_test",High,Directed,Huy,,,
,3.8,16 bits x cpol 1 x cpha 1,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 16, cpol =1, cpha = 1, cdte = 0 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và được nhả đúng thời gian truyền","spi_non_16bit_cpol1_cpha1_slaver0_test
spi_non_16bit_cpol1_cpha1_slaver1_test
spi_non_16bit_cpol1_cpha1_slaver2_test
spi_non_16bit_cpol1_cpha1_slaver3_test",High,Directed,Huy,,,
"Chế độ truyền liên tục 
(Countinous mode)",3.9,8 bits x cpol 0 x cpha 0,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 8, cpol =0, cpha = 0, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_8bit_cpol0_cpha0_slaver0_test
spi_en_8bit_cpol0_cpha0_slaver1_test
spi_en_8bit_cpol0_cpha0_slaver2_test
spi_en_8bit_cpol0_cpha0_slaver3_test",,,,,,
,3.10,16 bits x cpol 0 x cpha 0,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 16, cpol =0, cpha = 0, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
- Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_16bit_cpol0_cpha0_slaver0_test
spi_en_16bit_cpol0_cpha0_slaver1_test
spi_en_16bit_cpol0_cpha0_slaver2_test
spi_en_16bit_cpol0_cpha0_slaver3_test",High,Directed,Huy,,,
,3.11,8 bits x cpol 0 x cpha 1,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 8, cpol =0, cpha = 1, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_8bit_cpol0_cpha1_slaver0_test
spi_en_8bit_cpol0_cpha1_slaver1_test
spi_en_8bit_cpol0_cpha1_slaver2_test
spi_en_8bit_cpol0_cpha1_slaver3_test",High,Directed,Huy,,,
,3.12,16 bits x cpol 0 x cpha 1,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 16, cpol =0, cpha = 1, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_16bit_cpol0_cpha1_slaver0_test
spi_en_16bit_cpol0_cpha1_slaver1_test
spi_en_16bit_cpol0_cpha1_slaver2_test
spi_en_16bit_cpol0_cpha1_slaver3_test",High,Directed,Huy,,,
,3.13,8 bits x cpol 1 x cpha 0,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 8, cpol =1, cpha = 0, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_8bit_cpol1_cpha0_slaver0_test
spi_en_8bit_cpol1_cpha0_slaver1_test
spi_en_8bit_cpol1_cpha0_slaver2_test
spi_en_8bit_cpol1_cpha0_slaver3_test",High,Directed,Huy,,,
